文学・文化学(F4_1)履修者,,,,,第1回,第2回,第3回,第4回,第5回,第6回,第7回,第8回,第9回,第10回,第11回,第12回,第13回,第14回,第15回
学籍番号,名前,ふりがな,性別,IDm,10/4,10/11,10/18,11/1,11/8,11/15,11/22,11/29,12/6,12/13,12/20,1/10,1/17,1/24,1/31
S002,揚村巴絵,あげむらともえ,女,012E44A7A518527D,,,,,,,,,,,,,,,
S006,飯坂新司,いいざかしんじ,男,012E44A7A515A75C,,,,,,,,,,,,,,,
S007,池澄晃樹,いけずみこうき,男,012E44A7A5158B31,,,,,,,,,,,,,,,
S012,井手窪克茂,いでくぼかつしげ,男,012E44A7A51253C2,,,,,,,,,,,,,,,
S013,井内早絵子,いないさえこ,女,012E44A7A5157F61,,,,,,,,,,,,,,,
S014,入澤結香,いりさわゆいか,女,012E44A7A5156A5A,,,,,,,,,,,,,,,
S016,浦松拓治,うらまつたくじ,男,012E44A7A512676D,,,,,,,,,,,,,,,
S022,大舘俊幸,おおだてとしゆき,男,012E44A7A5123042,,,,,,,,,,,,,,,
S030,風洋司,かぜようじ,男,012E44A7A518A873,,,,,,,,,,,,,,,
S033,木口屋一輝,きぐちやかずき,男,012E44A7A5183188,,,,,,,,,,,,,,,
S036,木野大右,きのだいすけ,男,012E44A7A5185BA4,,,,,,,,,,,,,,,
S046,作花譲,さくかじょう,男,012E44A7A51538A8,,,,,,,,,,,,,,,
S051,白鳥一功,しらとりかずのり,男,012E44A7A512394B,,,,,,,,,,,,,,,
S055,滝田俊明,たきたとしあき,男,012E44A7A5155770,,,,,,,,,,,,,,,
S061,東矢千裕,とうやちひろ,男,012E44A7A512963F,,,,,,,,,,,,,,,
S066,友藤竜治,ともふじりゅうじ,男,012E44A7A5188758,,,,,,,,,,,,,,,
S067,豊長夢香,とよながゆか,女,012E44A7A518528F,,,,,,,,,,,,,,,
S074,野焼城司,のやきじょうじ,男,012E44A7A515729B,,,,,,,,,,,,,,,
S076,波佐間敬次,はざまけいじ,男,012E44A7A5157E58,,,,,,,,,,,,,,,
S077,蓮池夕加里,はすいけゆかり,女,012E44A7A5159335,,,,,,,,,,,,,,,
S090,八武崎榛菜,やぶさきはるな,女,012E44A7A518A145,,,,,,,,,,,,,,,
S091,山畑照樹,やまばたてるき,男,012E44A7A5128D80,,,,,,,,,,,,,,,
S096,吉馴典和,よしなれのりかず,男,012E44A7A518A8B0,,,,,,,,,,,,,,,
S099,与那豊茂,よなとよしげ,男,012E44A7A5188331,,,,,,,,,,,,,,,
