経済学(W3_1)履修者,,,,,第1回,第2回,第3回,第4回,第5回,第6回,第7回,第8回,第9回,第10回,第11回,第12回,第13回,第14回,第15回
学籍番号,名前,ふりがな,性別,IDm,10/2,10/9,10/16,10/23,10/30,11/6,11/13,11/20,11/27,12/4,12/11,12/18,1/8,1/15,1/22
S001,相道森,あいどうしん,男,012E44A7A5187429,,,,,,,,,,,,,,,
S010,礒田睦史,いそたあつし,男,012E44A7A5126FBC,,,,,,,,,,,,,,,
S012,井手窪克茂,いでくぼかつしげ,男,012E44A7A51253C2,,,,,,,,,,,,,,,
S015,印公一,いんきみかず,男,012E44A7A5117921,,,,,,,,,,,,,,,
S018,越前広,えちぜんひろし,男,012E44A7A5159FA1,,,,,,,,,,,,,,,
S019,江積幸廣,えづみゆきひろ,男,012E44A7A51581AB,,,,,,,,,,,,,,,
S024,大波多英三,おおはたえいぞう,男,012E44A7A518422C,,,,,,,,,,,,,,,
S025,岡松慎一郎,おかまつしんいちろう,男,012E44A7A5185F32,,,,,,,,,,,,,,,
S031,株竹智信,かぶたけとものぶ,男,012E44A7A5188F3F,,,,,,,,,,,,,,,
S037,清冨芳博,きよとみよしひろ,男,012E44A7A515B76D,,,,,,,,,,,,,,,
S040,串間洋治,くしまようじ,男,012E44A7A5123A87,,,,,,,,,,,,,,,
S042,古岩井忠利,こいわいただとし,男,012E44A7A5116953,,,,,,,,,,,,,,,
S043,古橋哲幸,こはしてつゆき,男,012E44A7A5115950,,,,,,,,,,,,,,,
S052,末満泰治,すえみつたいじ,男,012E44A7A511AE80,,,,,,,,,,,,,,,
S054,鷹取知也,たかとりともや,男,012E44A7A515587D,,,,,,,,,,,,,,,
S060,鄭健一郎,ちょんけんいちろう,男,012E44A7A515235C,,,,,,,,,,,,,,,
S061,東矢千裕,とうやちひろ,男,012E44A7A512963F,,,,,,,,,,,,,,,
S064,徳益榮,とくますさかえ,男,012E44A7A5154E78,,,,,,,,,,,,,,,
S065,戸津崎礼央奈,とつざきれおな,女,012E44A7A515A494,,,,,,,,,,,,,,,
S068,堂脇一志,どうわきひとし,男,012E44A7A5185054,,,,,,,,,,,,,,,
S073,登祐平,のぼるゆうへい,男,012E44A7A511AC3F,,,,,,,,,,,,,,,
S074,野焼城司,のやきじょうじ,男,012E44A7A515729B,,,,,,,,,,,,,,,
S079,波頭直司,はとうなおし,男,012E44A7A518269E,,,,,,,,,,,,,,,
S081,菱泰章,ひしやすあき,男,012E44A7A5185260,,,,,,,,,,,,,,,
S085,広文哉,ひろふみや,男,012E44A7A51875B5,,,,,,,,,,,,,,,
S089,八下田駿佑,やげたしゅんすけ,男,012E44A7A51832AB,,,,,,,,,,,,,,,
S098,吉光幸太,よしみつこうた,男,012E44A7A518BB99,,,,,,,,,,,,,,,
S099,与那豊茂,よなとよしげ,男,012E44A7A5188331,,,,,,,,,,,,,,,
