学籍番号,名前,ふりがな,性別,IDm,10/2,10/9,10/16,10/23,10/30,11/6,11/13,11/20,11/27,12/4,12/11,12/18,1/8,1/15,1/22,2/5
保健体育(W5_1)履修者,,,,,第1回,第2回,第3回,第4回,第5回,第6回,第7回,第8回,第9回,第10回,第11回,第12回,第13回,第14回,第15回,試験
S002,揚村巴絵,あげむらともえ,女,012E44A7A518527D,,,,,,,,,,,,,,,,
S004,荒松晴一,あらまつせいいち,男,012E44A7A518807A,,,,,,,,,,,,,,,,
S007,池澄晃樹,いけずみこうき,男,012E44A7A5158B31,,,,,,,,,,,,,,,,
S010,礒田睦史,いそたあつし,男,012E44A7A5126FBC,,,,,,,,,,,,,,,,
S011,市之瀬龍治,いちのせりゅうじ,男,012E44A7A5156DA9,,,,,,,,,,,,,,,,
S012,井手窪克茂,いでくぼかつしげ,男,012E44A7A51253C2,,,,,,,,,,,,,,,,
S014,入澤結香,いりさわゆいか,女,012E44A7A5156A5A,,,,,,,,,,,,,,,,
S015,印公一,いんきみかず,男,012E44A7A5117921,,,,,,,,,,,,,,,,
S016,浦松拓治,うらまつたくじ,男,012E44A7A512676D,,,,,,,,,,,,,,,,
S021,太田島映実,おおたじまえみ,女,012E44A7A5159A7E,,,,,,,,,,,,,,,,
S023,大野貴暁,おおのたかあき,男,012E44A7A5123C39,,,,,,,,,,,,,,,,
S027,小桐純孝,おぎりすみたか,男,012E44A7A5188A23,,,,,,,,,,,,,,,,
S032,茅根信道,かやねのぶみち,男,012E44A7A5189699,,,,,,,,,,,,,,,,
S035,貴下紗侑里,きしたさゆり,女,012E44A7A5187159,,,,,,,,,,,,,,,,
S036,木野大右,きのだいすけ,男,012E44A7A5185BA4,,,,,,,,,,,,,,,,
S043,古橋哲幸,こはしてつゆき,男,012E44A7A5115950,,,,,,,,,,,,,,,,
S054,鷹取知也,たかとりともや,男,012E44A7A515587D,,,,,,,,,,,,,,,,
S057,田屋洋志,たやひろし,男,012E44A7A5127B45,,,,,,,,,,,,,,,,
S058,太矢浩将,たやひろまさ,男,012E44A7A5127497,,,,,,,,,,,,,,,,
S060,鄭健一郎,ちょんけんいちろう,男,012E44A7A515235C,,,,,,,,,,,,,,,,
S062,東山勇人,とうやまゆうと,男,012E44A7A5158A31,,,,,,,,,,,,,,,,
S064,徳益榮,とくますさかえ,男,012E44A7A5154E78,,,,,,,,,,,,,,,,
S065,戸津崎礼央奈,とつざきれおな,女,012E44A7A515A494,,,,,,,,,,,,,,,,
S066,友藤竜治,ともふじりゅうじ,男,012E44A7A5188758,,,,,,,,,,,,,,,,
S068,堂脇一志,どうわきひとし,男,012E44A7A5185054,,,,,,,,,,,,,,,,
S069,中妻潔志,なかつまきよし,男,012E44A7A5188329,,,,,,,,,,,,,,,,
S075,萩間敦大,はぎまあつひろ,男,012E44A7A5158231,,,,,,,,,,,,,,,,
S076,波佐間敬次,はざまけいじ,男,012E44A7A5157E58,,,,,,,,,,,,,,,,
S077,蓮池夕加里,はすいけゆかり,女,012E44A7A5159335,,,,,,,,,,,,,,,,
S081,菱泰章,ひしやすあき,男,012E44A7A5185260,,,,,,,,,,,,,,,,
S082,日髙貴幸,ひだかたかゆき,男,012E44A7A518C560,,,,,,,,,,,,,,,,
S084,平野仰,ひらのあおぐ,男,012E44A7A51853A1,,,,,,,,,,,,,,,,
S088,矢形具美,やかたともみ,女,012E44A7A51869B3,,,,,,,,,,,,,,,,
S089,八下田駿佑,やげたしゅんすけ,男,012E44A7A51832AB,,,,,,,,,,,,,,,,
S092,行田博彦,ゆきたひろひこ,男,012E44A7A51586AF,,,,,,,,,,,,,,,,
S095,吉中龍之介,よしなかりゅうのすけ,男,012E44A7A5151E70,,,,,,,,,,,,,,,,
S096,吉馴典和,よしなれのりかず,男,012E44A7A518A8B0,,,,,,,,,,,,,,,,
S099,与那豊茂,よなとよしげ,男,012E44A7A5188331,,,,,,,,,,,,,,,,
